canton,pob,pea,desempleo,empleo,seguro_social,propia,arrendada,otros_tenencia,hacinamiento,deficit_hab,basura,no_asis,no_egb25,no_edsup,prom_edsup,urbana,rural,tdesem,seguro%,propia%,arrendada%,otros_tenencia%,deficit_hab%,hacinamiento%,basura%,no_asis%,no_egb25%,no_edsup%,urb,rur,DPA_CANTON,incidencia,intensidad,gini
Calvas,173.0,170.0,115.0,105.0,31.0,108.0,57.0,8.0,10.0,8.0,156.0,3.0,34.0,23.0,0.1791907514450867,126.0,47.0,67.64705882352942,29.523809523809526,62.42774566473989,32.947976878612714,4.624277456647398,4.624277456647398,5.780346820809249,90.17341040462428,1.7341040462427744,19.653179190751445,13.294797687861271,72.83236994219652,27.16763005780348,1102,10.61,0.45,0.34
Catamayo,182.0,177.0,93.0,112.0,42.0,117.0,56.0,9.0,9.0,17.0,171.0,3.0,33.0,8.0,0.18681318681318682,145.0,37.0,52.54237288135594,37.5,64.28571428571429,30.76923076923077,4.945054945054945,9.340659340659341,4.945054945054945,93.95604395604396,1.6483516483516485,18.13186813186813,4.395604395604396,79.67032967032966,20.329670329670336,1103,5.43,0.41,0.28
Celica,155.0,154.0,88.0,84.0,12.0,100.0,52.0,3.0,4.0,15.0,155.0,0.0,36.0,10.0,0.2967741935483871,154.0,1.0,57.14285714285714,14.285714285714285,64.51612903225806,33.5483870967742,1.935483870967742,9.67741935483871,2.5806451612903225,100.0,0.0,23.225806451612904,6.451612903225806,99.35483870967742,0.6451612903225765,1104,3.8,0.39,0.33
Chaguarpamba,151.0,148.0,75.0,95.0,42.0,103.0,44.0,4.0,8.0,16.0,147.0,2.0,38.0,12.0,0.2781456953642384,84.0,67.0,50.67567567567568,44.21052631578947,68.21192052980133,29.13907284768212,2.6490066225165565,10.596026490066226,5.298013245033113,97.35099337748345,1.3245033112582782,25.165562913907287,7.9470198675496695,55.62913907284768,44.37086092715232,1105,6.49,0.44,0.38
Espindola,151.0,151.0,76.0,110.0,18.0,99.0,40.0,12.0,7.0,11.0,147.0,0.0,43.0,13.0,0.17880794701986755,65.0,86.0,50.331125827814574,16.363636363636363,65.56291390728477,26.490066225165563,7.9470198675496695,7.28476821192053,4.635761589403973,97.35099337748345,0.0,28.47682119205298,8.609271523178808,43.04635761589404,56.95364238410596,1106,5.66,0.39,0.32
Gonzanama,199.0,194.0,137.0,114.0,29.0,152.0,38.0,9.0,15.0,31.0,177.0,0.0,45.0,26.0,0.19095477386934673,82.0,117.0,70.61855670103093,25.438596491228072,76.38190954773869,19.09547738693467,4.522613065326634,15.577889447236181,7.537688442211055,88.94472361809045,0.0,22.613065326633166,13.06532663316583,41.20603015075377,58.79396984924623,1107,7.8,0.41,0.31
Loja,984.0,974.0,718.0,362.0,49.0,722.0,210.0,52.0,58.0,104.0,898.0,3.0,206.0,69.0,0.30691056910569103,386.0,598.0,73.71663244353182,13.535911602209943,73.3739837398374,21.341463414634145,5.284552845528456,10.569105691056912,5.894308943089431,91.26016260162602,0.3048780487804878,20.934959349593495,7.01219512195122,39.22764227642276,60.77235772357724,1101,7.27,0.41,0.35
Macara,152.0,150.0,94.0,84.0,31.0,86.0,61.0,5.0,4.0,4.0,152.0,1.0,23.0,7.0,0.16447368421052633,152.0,0.0,62.66666666666667,36.904761904761905,56.57894736842105,40.131578947368425,3.289473684210526,2.631578947368421,2.631578947368421,100.0,0.6578947368421052,15.131578947368421,4.605263157894736,100.0,0.0,1108,1.32,0.46,0.25
Olmedo,163.0,163.0,91.0,107.0,29.0,123.0,37.0,3.0,8.0,10.0,147.0,0.0,18.0,7.0,0.22085889570552147,145.0,18.0,55.828220858895705,27.102803738317753,75.4601226993865,22.699386503067483,1.8404907975460123,6.134969325153374,4.9079754601226995,90.1840490797546,0.0,11.042944785276074,4.294478527607362,88.95705521472392,11.042944785276077,1116,3.64,0.4,0.33
Paltas,182.0,179.0,126.0,107.0,31.0,127.0,44.0,11.0,10.0,24.0,176.0,1.0,23.0,8.0,0.2087912087912088,121.0,61.0,70.39106145251397,28.971962616822427,69.78021978021978,24.175824175824175,6.043956043956044,13.186813186813188,5.4945054945054945,96.7032967032967,0.5494505494505495,12.637362637362637,4.395604395604396,66.48351648351648,33.51648351648352,1109,5.38,0.4,0.4
Pindal,159.0,159.0,98.0,76.0,19.0,98.0,56.0,5.0,12.0,13.0,152.0,1.0,23.0,24.0,0.22641509433962265,158.0,1.0,61.63522012578616,25.0,61.63522012578616,35.22012578616352,3.1446540880503147,8.176100628930817,7.547169811320755,95.59748427672956,0.628930817610063,14.465408805031446,15.09433962264151,99.37106918238993,0.628930817610069,1114,3.11,0.38,0.37
Puyango,180.0,179.0,117.0,83.0,28.0,119.0,54.0,7.0,6.0,16.0,175.0,1.0,23.0,8.0,0.16666666666666666,155.0,25.0,65.36312849162012,33.734939759036145,66.11111111111111,30.0,3.888888888888889,8.88888888888889,3.3333333333333335,97.22222222222221,0.5555555555555556,12.777777777777777,4.444444444444445,86.11111111111111,13.888888888888886,1110,1.63,0.38,0.34
Quilanga,158.0,154.0,89.0,99.0,38.0,120.0,31.0,7.0,11.0,20.0,154.0,0.0,36.0,11.0,0.22784810126582278,100.0,58.0,57.7922077922078,38.38383838383838,75.9493670886076,19.62025316455696,4.430379746835443,12.658227848101266,6.962025316455696,97.46835443037975,0.0,22.78481012658228,6.962025316455696,63.29113924050633,36.70886075949367,1115,9.26,0.38,0.37
Saraguro,155.0,154.0,93.0,83.0,22.0,118.0,29.0,8.0,9.0,14.0,150.0,1.0,44.0,9.0,0.22580645161290322,80.0,75.0,60.3896103896104,26.506024096385545,76.12903225806451,18.70967741935484,5.161290322580645,9.032258064516128,5.806451612903226,96.7741935483871,0.6451612903225806,28.387096774193548,5.806451612903226,51.61290322580645,48.38709677419355,1111,9.94,0.42,0.3
Sozoranga,170.0,165.0,102.0,102.0,39.0,106.0,43.0,21.0,14.0,16.0,155.0,1.0,28.0,11.0,0.2411764705882353,141.0,29.0,61.81818181818181,38.23529411764706,62.35294117647059,25.294117647058822,12.352941176470589,9.411764705882353,8.235294117647058,91.17647058823529,0.5882352941176471,16.470588235294116,6.470588235294119,82.94117647058825,17.058823529411754,1112,8.14,0.42,0.38
Zapotillo,168.0,167.0,110.0,65.0,7.0,106.0,60.0,2.0,9.0,14.0,158.0,0.0,27.0,10.0,0.20833333333333334,157.0,11.0,65.86826347305389,10.76923076923077,63.095238095238095,35.714285714285715,1.1904761904761905,8.333333333333332,5.357142857142857,94.04761904761905,0.0,16.071428571428573,5.952380952380952,93.45238095238095,6.547619047619051,1113,1.71,0.35,0.31
